post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2878974912183113	2020-02-29T11:23:27+0000	"Bolsonav\u00edrus: nada mais err\u00f4neo do que considerar Bolsonaro um acidente de percurso. Ele \u00e9 a recidiva agressiva de nossas patologias insuperadas, em face de um sistema imunol\u00f3gico debilitado. Ele tanto intui isso que as mentiras que dissemina n\u00e3o s\u00e3o camufladas, o que lhe permite aferir com precis\u00e3o o grau de ades\u00e3o cega a seu movimento pestilento."	4996	58	818
904277726319518_2878783568868914	2020-02-29T09:21:22+0000	"Bolsonav\u00edrus: nada mais err\u00f4neo do que considerar Bolsonaro um raio em c\u00e9u azul ou um acidente de percurso. Bolsonaro \u00e9 a recidiva agressiva de nossas patologias insuperadas, em face de um sistema imunol\u00f3gico debilitado. Ele tanto intui isso que as mentiras que dissemina n\u00e3o s\u00e3o camufladas, o que lhe permite aferir com precis\u00e3o o grau de ades\u00e3o cega a seu movimento pestilento."	2602	19	477
904277726319518_2875616525852285	2020-02-28T00:14:25+0000	"Cristiano Zanin, advogado de Lula, e Fernando Haddad discutem as novidades nos processos contra Lula: as revela\u00e7\u00f5es de que a Pol\u00edcia Federal admitiu que os arquivos da Odebrecht usados pela Lava Jato podem ter sido manipulados. E mais: a exist\u00eancia de documentos que provam que S\u00e9rgio Moro abriu um inqu\u00e9rito contra Lula na PF com a Lei de Seguran\u00e7a Nacional, e depois mentiu quando isso foi descoberto.\n\nV\u00eddeo: Ricardo Stuckert"	3068	20	540
904277726319518_2872245456189392	2020-02-26T12:12:56+0000	"NEM DISNEY, NEM P\u00c3O\nH\u00e1 um ano, governo Bolsonaro j\u00e1 sabia da falta de dinheiro para o Bolsa Fam\u00edlia. Ao menos cinco vezes, Minist\u00e9rio da Cidadania pediu dinheiro para que a fila de espera continuasse zerada, mas Junta Or\u00e7ament\u00e1ria barrou pleitos."	3148	616	1068
904277726319518_2871255852955019	2020-02-26T00:58:59+0000	"Bolsonaro, ao que tudo indica, cometeu crime de responsabilidade previsto na Constitui\u00e7\u00e3o que jurou respeitar mas, certamente, nunca leu."	21619	77	1369
904277726319518_2868531243227480	2020-02-24T19:51:01+0000	"O impacto do Fundeb, que criamos, na qualidade da educa\u00e7\u00e3o do Nordeste."	10571	2	3249
904277726319518_2863199017094036	2020-02-22T13:03:28+0000	"Cr\u00f4nica da semana. N\u00e3o podemos descuidar de dois problemas que a ascens\u00e3o da extrema direita fez ressurgir. O fortalecimento das mil\u00edcias e o conflito federativo. Com e por Bolsonaro, criou-se uma perigosa tens\u00e3o entre os governos estaduais e as pol\u00edcias militares."	2718	34	528
904277726319518_2862087573871847	2020-02-22T00:18:55+0000	"Bem que me falaram que o Carnaval de Rua de SP n\u00e3o ia rolar. Triste, n\u00e9?"	29857	14	1289
904277726319518_2858610960886175	2020-02-20T11:28:49+0000	"H\u00e1 clara tentativa de desestabilizar um dos melhores governos da hist\u00f3ria do Cear\u00e1. Camilo Santana, com sua habitual firmeza e sobriedade, saber\u00e1 enfrentar mais esse desafio. Todo apoio ao governador.\n\nE meu desejo de pronto restabelecimento ao senador Cid Gomes, um dos melhores quadros pol\u00edticos do Nordeste."	9914	7	588
904277726319518_2855332637880674	2020-02-18T20:38:19+0000	"Em Bras\u00edlia, discutindo a oposi\u00e7\u00e3o por um Brasil mais justo e democr\u00e1tico.\n\nFoto: Ricardo Stuckert"	9555	20	541
