post_id	date	num_likes	num_angry	num_shares
904277726319518_2878974912183113	2020-02-29T11:23:27+0000	4996	58	818
904277726319518_2878783568868914	2020-02-29T09:21:22+0000	2602	19	477
904277726319518_2875616525852285	2020-02-28T00:14:25+0000	3068	20	540
904277726319518_2872245456189392	2020-02-26T12:12:56+0000	3148	616	1068
904277726319518_2871255852955019	2020-02-26T00:58:59+0000	21619	77	1369
904277726319518_2868531243227480	2020-02-24T19:51:01+0000	10571	2	3249
904277726319518_2863199017094036	2020-02-22T13:03:28+0000	2718	34	528
904277726319518_2862087573871847	2020-02-22T00:18:55+0000	29857	14	1289
904277726319518_2858610960886175	2020-02-20T11:28:49+0000	9914	7	588
904277726319518_2855332637880674	2020-02-18T20:38:19+0000	9555	20	541
904277726319518_2855299197884018	2020-02-18T20:17:48+0000	4588	2333	937
904277726319518_2852021088211829	2020-02-17T10:51:16+0000	3466	2333	2674
904277726319518_2847768221970449	2020-02-15T11:59:30+0000	1693	3	252
904277726319518_2844398988974039	2020-02-13T22:16:20+0000	12894	22	966
904277726319518_2842368455843759	2020-02-12T23:32:25+0000	8865	4436	4111
904277726319518_2839135976167007	2020-02-11T12:35:18+0000	4478	693	1747
904277726319518_2838092716271333	2020-02-10T23:36:00+0000	10066	80	1029
904277726319518_2837850746295530	2020-02-10T20:29:15+0000	2653	599	1408
904277726319518_2837302123017059	2020-02-10T14:34:47+0000	7519	8	330
904277726319518_2836859526394652	2020-02-10T10:31:12+0000	7425	3350	6044
904277726319518_2835867573160514	2020-02-09T21:30:40+0000	7559	29	568
904277726319518_2833631630050775	2020-02-08T22:34:15+0000	3362	21	378
904277726319518_2833315943415677	2020-02-08T19:18:17+0000	13489	265	2515
904277726319518_2832460256834579	2020-02-08T11:05:38+0000	1894	5	384
904277726319518_2831565216924083	2020-02-08T00:03:16+0000	11227	57	2225
904277726319518_2829292070484731	2020-02-06T22:47:49+0000	2768	4117	3383
904277726319518_2822205094526762	2020-02-03T13:23:18+0000	2247	314	1118
904277726319518_2820908857989719	2020-02-02T21:45:41+0000	3037	1043	1637
904277726319518_2819007631513175	2020-02-01T23:12:31+0000	1182	3	89
904277726319518_2817903148290290	2020-02-01T10:55:48+0000	1503	35	243
904277726319518_2816086435138628	2020-01-31T12:33:09+0000	8365	115	996
